codigo_producto,nombre_producto,categoria,apariciones_visibles,clientes
OT-UTE899-8984,KOKUBO CUCHARA CON ESCURRIDOR CON PALILLO KK-425,Utensilios,2,2
OT-UTE899-9147,MH CHAROLA C/TAPA 50PZA MOD. YP-0.6,Utensilios,6,6
OT-UTE899-9229,SM FILTRO PARA TE TS45-R,Utensilios,9,9
OT-UTE899-9327,KITAHARA CHAROLA PARA BENTO NEGRA KE-1A 50 PZAS,Utensilios,15,11
OT-UTE899-9328,KITAHARA MOLDE DE PAPEL UNRYU VERDE 500 PZAS,Utensilios,2,2
OT-UTE899-9331,KITAHARA TAPA PARA CHAROLA DE BENTO KE-1 50 PZAS,Utensilios,15,10
PX-DEL307-13934,PAN 28 SAL CON AJONJOLI,Pan y Deli,2,2
PX-DEL307-13935,PAN 28 SAL CON AJO,Pan y Deli,3,3
PX-DEL307-13945,PAN 28 ROLLO CANELA,Pan y Deli,7,7
PX-DEL307-14033,PAN 28 SHORT CAKE REBANADO,Pan y Deli,6,6
PX-DEL307-14034,PAN 28 CHEESE CAKE REBANADO,Pan y Deli,11,11
PX-DEL307-14035,PAN 28 MOCHI CAKE ZEN,Pan y Deli,3,3
PX-DEL307-14036,PAN 28 MOCHI CAKE WA,Pan y Deli,8,8
PX-DEL307-14037,PAN 28 MOCHI CAKE EN,Pan y Deli,3,3
PX-DEL307-14038,PAN 28 MON BANC,Pan y Deli,5,5
PX-DEL307-14039,PAN 28 CHOCO LADRILLO,Pan y Deli,4,4
RE-BEB159-2042,YAKULT 3 PACK,Bebidas,35,29
RE-DEL250-10760,TOYO HUEVO COPPEPAN SAND,Pan y Deli,26,23
RE-DEL250-10761,TOYO ATUN COPPEPAN SAND,Pan y Deli,17,15
RE-DEL250-11403,GOEN BENTOU ESPECIAL 230,Pan y Deli,3,3
RE-DEL250-11404,GOEN BENTOU MATSU 210,Pan y Deli,2,2
RE-DEL250-11405,GOEN BENTOU TAKE 165,Pan y Deli,5,5
RE-DEL250-11406,GOEN BENTOU UME 145,Pan y Deli,3,3
RE-DEL250-11697,TOYO PAN KANIKAMA,Pan y Deli,35,31
RE-DEL250-12554,TOYO PAN DE MENTAI,Pan y Deli,38,33
RE-DEL250-12555,TOYO PAN DE AJO,Pan y Deli,14,12
RE-DEL250-13194,TOYO PAN DE SAL ROSA,Pan y Deli,33,31
RE-DEL250-13196,TOYO PAN TOSTADO DE MIEL,Pan y Deli,55,49
RE-DEL250-1919,TOYO ONIGUIRI CAMARON,Pan y Deli,81,75
RE-DEL250-1920,TOYO ONIGUIRI CARNE DE RES MOLIDA,Pan y Deli,59,56
RE-DEL250-1921,TOYO ONIGUIRI KANIKAMA,Pan y Deli,6,6
RE-DEL250-1922,TOYO ONIGUIRI MARMOL,Pan y Deli,1,1
RE-DEL250-1967,TOYO TEMAKI EBI FRY,Pan y Deli,80,68
RE-DEL250-1968,TOYO TEMAKI KANI MAYO,Pan y Deli,54,49
RE-DEL250-1969,TOYO TEMAKI UME,Pan y Deli,5,5
RE-DEL250-2831,TOYO ONIGUIRI SALMON,Pan y Deli,78,72
RE-DEL250-6806,TOYO ONIGUIRI BIBINBA PZA,Pan y Deli,3,3
RE-DEL250-7781,TOYO MAKUNOUCHI BENTOU UME,Pan y Deli,14,13
RE-DEL250-7782,TOYO MAKUNOUCHI BENTOU TAKE,Pan y Deli,12,12
RE-DEL252-14403,PAN 28 TARTA DE TEMPORADA 1,Pan y Deli,3,3
RE-DEL252-14632,PAN 28 PASTEL ESPECIAL 1 PZ,Pan y Deli,3,3
RE-DEL252-14633,TOYO AN PAN RAMUNE PZA,Bebidas,41,39
RE-FVL355-0183,DAIKON (NABO),Frescos,105,85
RE-FVL355-1266,OKURA (OKURA),Frescos,11,10
RE-FVL355-2167,SATOIMO (PAPA),Frescos,25,23
RE-FVL355-3565,CHINGENSAI (BOK CHOI),Frescos,36,32
RE-FVL355-5514,SM HONGO ENOKI FRESCO,Frescos,45,40
RE-FVL355-5515,SM HONGO SHIMEJI CAFÉ FRESCO (100G.),Frescos,38,31
RE-FVL355-5516,SM HONGO MAITAKE FRESCO (100 G.),Frescos,19,17
RE-FVL357-10898,TOYO GARI BLANCO 907 G,Frescos,284,248
RE-FVL357-1240,NITAKAYA GARI PINK 9 KG,Otros,1,1
RE-FVL357-13336,TOKAI US TOKYO TAKUAN 440 G,Frescos,23,22
RE-FVL357-13337,TOKAI US TOKYO TAKUAN 220 G,Frescos,90,84
RE-FVL357-1350,PR TOKAI TAKUAN TARO 400G,Frescos,1,1
RE-FVL357-4672,GREEN LAND GARI BLANCO 9 KG.,Frescos,66,62
RE-FVL357-8322,TOYO GARI BLANCO 454 G,Frescos,355,310
