codigo,piezas_por_caja,usado_en_portal
CO-SFP649-5780,12,SI
CO-SFP649-6116,20,SI
CO-SYE550-6450,60,SI
CO-SYE558-12575,2,SI
CO-SYE558-6000,12,SI
CO-SYE558-8327,80,SI
CO-TQO748-10022,4,NO
CO-TQO748-13230,12,NO
CO-TQO748-13231,12,NO
CO-TQO748-2002,4,NO
CO-TQO748-6843,4,NO
CO-TQO748-6844,5,NO
CO-TQO748-7252,20,NO
CO-TQO748-7253,20,NO
CO-TQO748-7254,20,NO
CO-TQO749-0562,24,NO
CO-TQO749-10317,20,SI
CO-TQO749-11284,30,SI
CO-TQO749-12556,30,SI
CO-TQO749-13389,20,SI
CO-TQO749-4365,20,NO
CO-TQO749-4366,12,SI
CO-TQO749-4367,12,SI
CO-TQO749-4403,30,NO
CO-TQO749-7712,40,SI
CO-TYE356-12888,24,SI
CO-TYE751-0208,12,SI
CO-TYE751-12664,12,NO
CO-TYE751-1324,12,SI
CO-TYE752-0207,12,SI
CO-TYE752-12663,6,NO
CO-TYE752-1323,20,SI
CO-TYE752-2021,40,SI
CO-TYE753-0213,12,SI
CO-TYE753-12662,12,NO
CO-TYE753-1325,30,SI
CO-TYE755-0016,20,NO
CO-TYE755-0025,20,NO
CO-TYE755-0026,20,NO
CO-TYE755-10454,16,SI
CO-TYE755-10455,16,SI
CO-TYE755-10456,16,SI
CO-TYE755-10457,16,SI
CO-TYE755-10458,16,SI
CO-TYE755-11481,12,NO
CO-TYE755-11482,12,NO
CO-TYE755-11483,12,NO
CO-TYE755-11484,16,NO
CO-TYE755-11585,8,SI
CO-TYE755-11586,8,SI
CO-TYE755-11655,18,NO
CO-TYE755-11656,18,NO
CO-TYE755-11657,18,NO
CO-TYE755-11658,18,NO
CO-TYE755-11682,20,SI
CO-TYE755-11917,10,SI
CO-TYE755-11918,10,SI
CO-TYE755-12873,12,SI
CO-TYE755-12874,12,SI
CO-TYE755-12876,12,SI
CO-TYE755-12889,24,SI
CO-TYE755-12890,24,SI
CO-TYE755-13024,8,SI
CO-TYE755-13171,24,SI
CO-TYE755-13172,24,SI
CO-TYE755-13173,24,SI
CO-TYE755-13282,8,SI
CO-TYE755-13283,8,SI
CO-TYE755-13332,10,SI
CO-TYE755-13333,10,SI
CO-TYE755-13334,10,SI
CO-TYE755-13335,10,SI
CO-TYE755-1768,20,SI
CO-TYE755-3733,10,NO
CO-TYE755-3735,6,NO
CO-TYE755-5391,20,SI
CO-TYE755-9904,8,SI
CO-TYE755-9905,8,SI
CO-TYE799-12881,24,SI
CO-TYE799-13460,12,SI
CO-TYE799-1984,24,SI
OT-ACC005-10645,12,NO
OT-ACC005-10646,12,NO
OT-ACC005-10647,12,NO
OT-ACC005-10648,12,NO
OT-ACC005-10649,12,NO
OT-ACC005-10651,12,SI
OT-ACC005-10652,12,SI
OT-ACC005-10653,12,NO
OT-ACC005-10654,12,SI
OT-ACC005-10655,12,NO
OT-ACC005-10658,12,SI
OT-ACC005-10659,12,SI
OT-ACC005-10660,12,NO
OT-ACC005-10661,12,SI
OT-ACC005-10662,12,NO
OT-ACC005-10663,12,SI
OT-ACC005-10664,12,SI
OT-ACC005-10665,12,NO
OT-ACC005-10666,12,NO
OT-ACC005-10667,12,NO
OT-ACC005-10668,12,NO
OT-ACC005-10669,12,SI
OT-ACC005-10670,12,SI
OT-ACC005-10671,12,SI
OT-ACC005-10672,12,SI
OT-ACC005-10673,6,NO
OT-ACC005-10674,12,SI
OT-ACC005-10675,6,SI
OT-ACC005-10676,12,SI
OT-ACC005-10677,12,NO
OT-ACC005-10678,6,NO
OT-ACC005-10681,12,SI
OT-ACC005-10694,12,SI
OT-ACC005-10695,12,SI
OT-ACC005-10696,12,SI
OT-ACC005-10697,12,SI
OT-ACC005-10698,12,SI
OT-ACC005-10699,12,SI
OT-ACC005-10700,12,SI
